BHK,Type,Area,Status,Price,price_unit
2,Independent house,1261,Under construction,6495102.773773128,L
3,Independent house,1320,Under construction,7144032.751777495,L
2,Apartment,673,Under construction,2630015.70563123,L
3,Independent house,1656,Under construction,9299057.533369783,L
4,Independent house,2780,Ready to move,16172921.14326242,L
4,Independent house,2794,Under construction,15208796.342329422,L
3,Apartment,1428,Ready to move,5955994.280037311,L
3,Independent house,1424,Under construction,7288321.565526272,L
3,Independent house,1473,Ready to move,8972261.819065453,L
2,Apartment,724,Under construction,2696160.9886730784,L
2,Apartment,1242,Ready to move,5361365.264537984,L
4,Row bunglow,1713,Under construction,7983881.231195234,L
3,Independent house,1902,Under construction,9975425.158909636,L
5,Independent house,2581,Ready to move,14591697.617193213,L
3,Independent house,1073,Ready to move,6429158.482930619,L
5,Independent house,2687,Ready to move,16570700.087329917,L
2,Apartment,1088,Ready to move,4952124.743884234,L
5,Row bunglow,2852,Ready to move,15510463.291877419,L
3,Row bunglow,2046,Under construction,9995740.650957914,L
4,Row bunglow,1625,Ready to move,8987336.840438446,L
4,Row bunglow,1727,Ready to move,8869983.888526838,L
3,Apartment,1298,Under construction,5229291.575718822,L
4,Independent house,2395,Under construction,12919405.37050638,L
3,Row bunglow,2476,Under construction,10889077.869355472,L
4,Independent house,2636,Ready to move,15531299.717184382,L
3,Row bunglow,2498,Ready to move,12362317.899798825,L
2,Apartment,1043,Under construction,4334222.278042003,L
4,Row bunglow,1753,Under construction,9004226.07845538,L
4,Independent house,2409,Under construction,12207997.671092227,L
4,Row bunglow,1776,Under construction,8666839.998411234,L
1,Apartment,734,Under construction,2754726.1014021365,L
2,Apartment,1282,Ready to move,5496666.232331652,L
4,Independent house,2899,Ready to move,16694166.080655187,L
3,Independent house,1069,Ready to move,6010195.255197962,L
5,Row bunglow,2902,Ready to move,14693462.339348948,L
3,Independent house,2279,Ready to move,13257702.274685713,L
3,Independent house,1189,Ready to move,7462291.13609539,L
3,Apartment,1185,Under construction,4609094.89083201,L
2,Independent house,1207,Ready to move,7227309.9464935595,L
4,Independent house,1818,Under construction,9332222.617544735,L
4,Independent house,2515,Ready to move,15345322.574291827,L
3,Apartment,1045,Under construction,4035836.81396824,L
5,Row bunglow,2518,Ready to move,12450503.934516553,L
3,Apartment,1487,Under construction,6231054.259471683,L
4,Row bunglow,2490,Under construction,10376191.198348027,L
2,Apartment,1213,Under construction,4804064.864002208,L
3,Independent house,1929,Ready to move,10413745.872778501,L
3,Independent house,1102,Ready to move,6678232.295358228,L
2,Apartment,891,Ready to move,3804234.834042895,L
2,Apartment,730,Ready to move,3205947.2884865003,L
4,Independent house,2342,Ready to move,13913579.467464702,L
3,Row bunglow,1023,Ready to move,4811477.556165633,L
3,Independent house,2251,Ready to move,13585744.09464379,L
3,Row bunglow,2214,Under construction,9765509.655183662,L
2,Apartment,1135,Ready to move,4990097.586912691,L
